软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
整数系统中一个重要的数，小于一切自然数，是介于正数和负数之间唯一的数，记作“”。有时用来表示某种量的基准，如摄氏温度计上的冰点，记作“”。 | 零
不正当，不正派 | 邪
中医指引起疾病的环境因素 | 邪
迷信的人指鬼神给予的灾祸 | 邪
妖异怪诞 | 邪
古同“斜”。 | 邪
古同“耶”，疑问词。 | 邪
古同“玡”，琅玡山。 | 邪
古同“余”。 | 邪
古同“徐”，缓慢。 | 邪
同“盘”。 | 槃
快乐 | 槃
姓。 | 槃
〔～江〕地名，在中国江苏省。 | 邗
在下面接受，托着 | 承
担当，应允 | 承
受到，蒙受 | 承
继续，接连 | 承
顺从，迎合 | 承
姓。 | 承
按照预定的想法非正式地做 | 试
考，测验 | 试
〔～河〕水名，在中国山东省。 | 泗
鼻涕 | 泗
崩坏，倒塌 | 颓
消沉，委靡 | 颓
败坏 | 颓
水向下流 | 颓
灭亡 | 颓
恭顺的样子。 | 颓
暴风 | 颓
直立，耸立 | 峙
〔繁～〕地名，在中国山西省。 | 峙
飘扬 | 霏
云气 | 霏
较差 | 亚
次一等 | 亚
原子价较低的，酸根或化合物中少含一个氢原子或氧原子的 | 亚
指“亚细亚洲”（位于东半球的东北部，简称“亚洲”） | 亚
勇猛雄壮的样子 | 仡
〔～佬族〕中国少数民族，主要分布于贵州省。 | 仡
八卦之一，代表天 | 干
旧时称男性的 | 干
见“干”。 | 干
家畜 | 牲
古代特指供宴飨祭祀用的牛、羊、猪 | 牲
指面积、体积、容量、数量、强度、力量超过一般或超过所比较的对象，与“小”相对 | 大
指大小的对比 | 大
规模广，程度深，性质重要 | 大
用于“不”后，表示程度浅或次数少 | 大
年长，排行第一 | 大
敬辞 | 大
时间更远 | 大
〔～夫〕古代官职，位于“卿”之下，“士”之上。 | 大
超过事物一半，不很详细，不很准确 | 大
〔～夫〕医生（“夫”读轻声）。 | 大
〔～王〕戏曲、旧小说中对强盗首领的称呼（“王”读轻声）。 | 大
古通“太”。 | 大
古通“泰”。 | 大
聚集，特指聚集材料编书 | 辑
聚集很多材料而成的书刊 | 辑
和，和睦 | 辑
敛，拖着不便脱落。 | 辑
古同“缉”，连缀。 | 辑
古代称协调驾车的众马。 | 辑
用盐浸渍食物 | 腌
〈方〉腌臜（—）不干净。 | 腌
烦恼，悔恨 | 懊
挡 | 遮
掩盖，掩蔽 | 遮
古同“庶”，众多。 | 遮
古同“者”，这。 | 遮
牵，扯，拽 | 拉
用车载运 | 拉
使延长 | 拉
排泄粪便 | 拉
联络 | 拉
摧折 | 拉
带领转移 | 拉
牵引乐器的某一部分使乐器发出声音 | 拉
抚养子女 | 拉
帮助 | 拉
割，用刀把东西切开一道缝或切断 | 拉
闲谈 | 拉
纯黑色的马。 | 骊
传说中黑色的龙 | 骊
并列 | 骊
再三嘱咐 | 叮
追问 | 叮
蚊虫等用针形口器吸食 | 叮
水流长 | 永
久远 | 永
古同“咏”，以诗词等来叙述。 | 永
和四方、上下或两端距离同等的地位 | 中
在一定范围内，里面 | 中
性质或等级在两端之间的 | 中
表示动作正在进行 | 中
特指“中国” | 中
适于，合于 | 中
恰好合上 | 中
受到，遭受 | 中
科举考试被录取 | 中
明亮。 | 昉
起始。 | 昉
〔～莶〕一年生草本植物，茎上有灰白色的毛，叶对生，椭圆形或卵形。 | 豨
古书上指猪。 | 豨
同“同”。 | 仝
姓氏。 | 仝
后代 | 胤
所 | 攸
疾走的样子 | 攸
水流的样子 | 攸
文言语助词，无义 | 攸
分别，分析，明察 | 辨
古代土地面积单位，九夫为一辨，七辨为一并。 | 辨
封建时代指帝王、诸侯等 | 君
古代的封号 | 君
对对方的尊称 | 君
一样，没有差异；相～。～一（一致，统一；共同的一个或一种）。～侪（同辈）。～庚（同岁）。～年。～胞。～人（在同一单位工作的人；同行业的人）。～仁（同人）。～仇敌忾。～工异曲。～室操戈。情～手足。 | 同
共，在一起（从事） | 同
和，跟 | 同
姓。 | 同
〔胡～〕见“胡”。 | 同
〔～马〕原为官名“驸马都尉”的简称；中国魏晋以后帝王女婿常任此职，后就成为帝王女婿的专称。 | 驸
几匹马共同拉车，在旁边的马。 | 驸
昏黑 | 黯
物体燃烧后剩下的东西 | 烬
一种深蓝色有机染料，称“靛蓝”。亦称“靛青”、“蓝靛”。 | 靛
蓝色和紫色混合而成的一种颜色。 | 靛
落叶乔木，果实为坚果，称“栗子”，味甜，可食 | 栗
发抖，因害怕或寒冷肢体颤动 | 栗
坚实 | 栗
姓。 | 栗
只，仅，只是 | 但
不过，可是 | 但
徒然 | 但
姓。 | 但
（古读） | 郗
古地名，在今中国河南省沁阳县。 | 郗
姓。 | 郗
惊喜的样子 | 蘧
古同“蕖”，芙蕖，荷花。 | 蘧
〔～麦〕即“瞿麦”。 | 蘧
〔～庐〕古代称旅舍。 | 蘧
姓。 | 蘧
阻拦，遮蔽 | 挡
指“排挡” | 挡
某些仪器和测量装置用来表明光、电、热等量的等级。 | 挡
〔摒（）～〕见“摒”。 | 挡
恨，怒 | 恚
流下 | 淌
水起波纹 | 淌
中国浙江省宁波市的别称 | 甬
钟柄。 | 甬
花蓓蕾的样子 | 甬
古同“桶”，古量器名。 | 甬
收藏东西的地洞或坑 | 窖
把东西藏在地窖里 | 窖
佛教指请人容忍宽恕。又指佛教、道教讽诵的一种经文 | 忏
生长在海洋中的哺乳动物，形状像鱼，胎生，鼻孔在头的上部，用肺呼吸。体长可达三十米，是现在世界上最大的动物。肉可食，脂肪可以做油（俗称“鲸鱼”） | 鲸
恶，坏 | 劣
低下，弱下 | 劣
小于一定标准的 | 劣
福。 | 礽
从本身起第八代孙，称“礽孙”。 | 礽
〔～海〕湖名，在中国云南省。 | 洱
〔～子〕常绿灌木或小乔木，夏季开白花，有浓香。果实卵形，可入药，亦可作黄色染料。有的地区亦称“水横枝”；这种植物的果实。 | 栀
东西的一头平或排成一条直线 | 齐
达到，跟什么一般平 | 齐
同时；同样；一起 | 齐
全；完全 | 齐
中国周代诸侯国名，疆域在今山东省北部、东部和河北省的东南部。 | 齐
中国朝代名 | 齐
调剂 | 齐
药剂 | 齐
界限；分际 | 齐
成功；成熟 | 齐
同“粢”。古代用于祭祀的谷物。 | 齐
同“斋”。 | 齐
斋戒 | 齐
庄敬 | 齐
（在人名中亦读）金子。 | 鋆
真诚 | 恳
请求 | 恳
〔～疾〕一种按时发冷发烧的急性传染病，病原体是疟原虫，由疟蚊传染到人体血液里。 | 疟
（疟）（“疾”读轻声）。 | 疟
〔～子〕“疟（）疾”的通称，如“发～子”（亦作“打摆子”）。 | 疟
寒冷 | 凄
悲伤 | 凄
冷落静寂 | 凄
常绿多年生植物，春日生笋，茎有很多节，中间是空的，质地坚硬，种类很多。可制器物，又可做建筑材料 | 竹
指竹制管乐器 | 竹
中国古代乐器八音之一。 | 竹
姓。 | 竹
大雨，亦喻帝王恩泽 | 霈
雨盛的样子 | 霈
自满的样子 | 霈
喂牲畜的草，亦指用草料喂牲口 | 刍
割草 | 刍
草把 | 刍
给，旧时指上级给下级或长辈给小辈 | 赐
敬辞 | 赐
赏给的东西，给予的好处 | 赐
生长着很多草的湖泽 | 薮
人或物聚集的地方 | 薮
指民间、草野 | 薮
古同“搜”，搜求。 | 薮
竹索。 | 筊
小箫。 | 筊
笋。 | 筊
古同“珓”，迷信占卜的用具。 | 筊
垂手拿着有环、柄或绳套的东西 | 提
引领（向上或向前等） | 提
说起，举出 | 提
将犯人从关押之处带出来 | 提
率领，调遣 | 提
取出 | 提
汉字笔形之一，即挑。 | 提
舀取油、酒等液体的一种用具 | 提
古代鼓名 | 提
姓。 | 提
〔～防〕小心防备。 | 提
投掷 | 提
没有火焰的微火。 | 炆
方言，用微火炖食物或熬菜。 | 炆
古同“驮”。 | 駄
古同“驮”。 | 駄
第二 | 次
质量、品质较差的 | 次
等第，顺序 | 次
化学上指酸根或化合物中少含两个氧原子的 | 次
中间 | 次
量词，回 | 次
旅行所居止之处所 | 次
姓。 | 次
牢固，结实，硬 | 坚
不动摇，不改变 | 坚
牢固、结实的东西或阵地 | 坚
姓。 | 坚
拿 | 取
选择 | 取
采用 | 取
得到，招致 | 取
消去 | 取
供人睡卧的家具 | 床
像床的东西 | 床
量词，用于被褥等 | 床
井上围栏 | 床
岔道，偏离正道的小路 | 歧
不相同，不一致 | 歧
棉、麻及棉型化学短纤维经纺纱后的织成物 | 布
古代的一种钱币。 | 布
宣告，对众陈述 | 布
分散到各处 | 布
流传，散播 | 布
做出安排 | 布
姓。 | 布
古同“对”。 | 対
同“浚”。 | 濬
同“浚”。 | 濬
战胜 | 捷
战胜所获 | 捷
快，迅速 | 捷
一种气体元素，是现在所知道的元素中最轻的，无色、无味、无臭，导热能力特别强，跟氧化合成水。氢在工业上用途很广。 | 氢
缺少 | 乏
疲倦 | 乏
无能，无用 | 乏
睡眠状态结束或尚未入睡 | 醒
酒醉、麻醉或昏迷后神志恢复正常状态 | 醒
泛指头脑由迷糊而清楚 | 醒
明显、清楚 | 醒
在别人面前说陷害某人的坏话 | 谗
密切合拢，与“松”相对 | 紧
靠得极近 | 紧
使紧 | 紧
事情密切接连着，时间急促没有空隙 | 紧
形势严重，关系重要 | 紧
不宽裕 | 紧
土地温暖。 | 塭
水产养殖场的一种，海水流通的滨海地区多有之。塭场一般广约百多亩，周围择点设闸，潮来任其涨满，潮退便在闸口置网，渔获量无一定。 | 塭
侮辱，怠慢。 | 嫚
方女孩子。 | 嫚
扁担等两头挂着东西，用肩担着 | 挑
挑的东西 | 挑
挖取 | 挑
量词，用于成挑儿的东西 | 挑
选，拣 | 挑
古同“佻”，佻达。 | 挑
用竿子棍棒等的一头举起或支起 | 挑
用条状物或有尖的东西拨开或弄出来 | 挑
拨弄，引动 | 挑
草木的根 | 本
事物的根源，与“末”相对 | 本
草的茎，树的干 | 本
中心的，主要的 | 本
原来 | 本
自己这方面的 | 本
传说中国夏代的第一个君主，他曾经治过洪水 | 禹
姓。 | 禹
面向南时，东的一边，与“右”相对 | 左
地理上指东方 | 左
指政治思想上进步或超过现实条件许可的过头思想和行动 | 左
斜，偏，差错 | 左
降低官职 | 左
古同“佐”，佐证。 | 左
姓。 | 左
钱币，交换各种商品的媒介 | 币
天干的第九位，用作顺序第九的代称。 | 壬
〔～人〕巧言谄媚的人。 | 壬
姓。 | 壬
四个角都是度直角的四边形或六个面都是方形的立体；正～形长～形。 | 方
数学上指某数自乘的积 | 方
人的品行端正 | 方
一边或一面 | 方
地区，地域 | 方
办法，做法，技巧 | 方
种，类 | 方
为治疗某种疾病而组合起来的若干种药物的名称、剂量和用法 | 方
违背 | 方
正在，正当 | 方
才，刚刚 | 方
量词，多指一立方米 | 方
量词，用于方形的东西 | 方
姓。 | 方
山脉中断的地方。 | 陉
灶的边缘 | 陉
声，亦特指有节奏的声 | 音
信息，消息 | 音
姓。 | 邢
以至诚感动神灵而得福祐。 | 禛
两手抱拳上举，以表敬意 | 拱
两手合围 | 拱
环绕 | 拱
耸起，隆起，弯曲成弧形 | 拱
向上或向前推，顶动 | 拱
姓。 | 拱
阏氏汉代匈奴称君主的正妻。 | 阏
仗着自己的力量帮助被欺侮者的人或行为 | 侠
美，好的 | 佳
加在门窗、器物等开合处或连接处，必须用钥匙、密码、磁卡等才能打开的金属装置 | 锁
用锁锁住 | 锁
链子；链条 | 锁
关闭；幽闭 | 锁
紧皱；蹙紧 | 锁
一种缝纫方法，用线顺着布边或扣眼密缝 | 锁
姓。 | 锁
数名，五加一（在钞票或单据上常用大写“陆”代） | 六
中国古代乐谱的记音符号，相当于简谱“”。 | 六
〔～安〕地名，在中国安徽省。 | 六
〔～合〕地名，在中国江苏省。 | 六
同“球”。 | 毬
粗布或粗布衣服 | 褐
黑黄色 | 褐
彼此有交情的人 | 友
有亲近和睦关系的 | 友
相好，互相亲爱 | 友
遥远 | 邈
富足，多 | 饶
宽恕，免除处罚 | 饶
尽管 | 饶
另外增添 | 饶
姓。 | 饶
对着，朝着，与“背”相对 | 向
目标，意志所趋 | 向
偏袒，袒护 | 向
近，临 | 向
从前 | 向
从开始到现在 | 向
姓。 | 向
人或动物嘴里辨别滋味、帮助咀嚼和发音的器官 | 舌
语言辩论的代称 | 舌
像舌头的东西 | 舌
铃或释中的锤。 | 舌
指箭靶两旁上下伸出的部分。 | 舌
古同“町”。 | 畠
古同“甾”。 | 畠
恐惧，害怕 | 慑
威胁，使恐惧 | 慑
用来保护头的帽子，多用金属制成 | 盔
形状像盔或半个球形的 | 盔
盆子一类的器皿 | 盔
不幸的，不吉祥的 | 凶
庄稼收成不好 | 凶
恶 | 凶
关于杀伤的 | 凶
厉害，过甚 | 凶
物体燃烧后剩下的东西，经烧制后形成的产品 | 灰
尘土 | 灰
特指“石灰” | 灰
黑白之间的颜色 | 灰
志气消沉 | 灰
数名，最小的正整数（在钞票和单据上常用大写“壹”代）。 | 一
纯；专 | 一
全；满 | 一
相同 | 一
另外的 | 一
表示动作短暂，或是一次，或具试探性 | 一
乃；竞 | 一
部分联成整体 | 一
或者 | 一
初次 | 一
中国古代乐谱记音符号，相当于简谱中的低音“”。 | 一
美丽 | 妍
巧 | 妍
古同“章”，明。 | 暲
日光上移。 | 暲
〔澎～〕见“澎”。 | 湃
哺乳动物的一科，门齿终生持续生长，常借啮物以磨短，繁殖迅速，种类甚多，有的能传播鼠疫等病原，并为害农林草原，盗食粮食，破坏贮藏物、建筑物等（俗称“耗子”） | 鼠
隐忧 | 鼠
同“豆”。 | 荳
不顺，不和谐 | 乖
机灵，伶俐（多指小孩听话） | 乖
相信，信赖 | 任
使用，给予职务 | 任
负担，担当 | 任
职务 | 任
由着，听凭 | 任
不论，无论 | 任
中国古代女子爵位名。 | 任
中国古代南方的一种民族乐曲。 | 任
姓。 | 任
才能 | 撰
写作，著书 | 撰
持，拿着 | 撰
指天地阴阳等自然现象的变化规律。 | 撰
〔山毛～〕落叶乔木，高可达二十余米，木材坚硬，可做枕木、家具。亦称“水青冈”。 | 榉
落叶乔木，和榆相近，木材耐水，可造船。 | 榉
阳性的，与“雌”相对 | 雄
强有力的 | 雄
强有力的人或国家 | 雄
水因冷凝结成的固体 | 冰
结晶成固体，呈结晶形的 | 冰
使人感到寒冷 | 冰
用冰贴近东西使其变凉 | 冰
洁白明彻 | 冰
损伤，亏缺 | 蚀
同“食”。 | 蚀
赐予，给予 | 赉
地的边长。 | 圻
方千里之地 | 圻
古同“垠”，边际。 | 圻
〔～河〕水名，在中国山东省。 | 淄
古同“缁”，黑色。 | 淄
扰乱 | 搅
拌 | 搅
温和；～清（清平；指上天）。～如清风。 | 穆
恭敬 | 穆
古同“默”，沉默。 | 穆
古代宗庙次序，父居左为“昭”，子居右为“穆”。 | 穆
姓。 | 穆
虹的一种，亦称“副虹”。形成的原因和虹相同，只是光线在水珠中的反射多了一次，红色在内，紫色在外。 | 霓
农村中专管饲养某些家畜的人 | 倌
旧时称服杂役的人 | 倌
〔～仃〕孤独。 | 伶
〔～俐〕聪明；灵活。 | 伶
〔～俜〕孤独的样子。 | 伶
旧时称以演戏为职业的人 | 伶
〔～恿〕鼓动别人去做某事。 | 怂
惊，惊惧。 | 怂
肥，肥肉 | 膏
脂油 | 膏
中医指心尖脂肪，认为是药力达不到的部位 | 膏
把油抹在车轴或机械上 | 膏
把毛笔蘸上墨汁在砚台边上掭 | 膏
显出，露出 | 呈
恭敬地送上去 | 呈
下级报告上级的文件 | 呈
古同“程”，规划、法式、标准。 | 呈
用有尖的东西插入 | 刺
暗杀 | 刺
侦探，打听 | 刺
用尖锐的话指出别人的坏处 | 刺
尖锐像针的东西 | 刺
象声词 | 刺
疑问人称代词 | 谁
任何人，无论什么人 | 谁
代词。 | 谁
表示问人 | 谁
任指，表示任何人，无论什么人 | 谁
聚会或招待客人用的大房间 | 厅
政府机关办事部门 | 厅
住，过夜，夜里睡觉 | 宿
年老的，长久从事某种工作的 | 宿
平素，素有的 | 宿
隔夜的，隔年的 | 宿
姓。 | 宿
夜 | 宿
星座 | 宿
安宁，平静 | 谧
一种金属元素，银白色略有延展性。镁、铝合金可作航空、航天材料。硫酸镁可入药，俗称“泻盐”。 | 镁
学过后再温熟反复地学，使熟练 | 习
学 | 习
对某事熟悉 | 习
长期重复地做，逐渐养成的不自觉的活动 | 习
相因 | 习
姓。 | 习
有利害冲突不能相容的 | 敌
指敌人 | 敌
抵挡 | 敌
相当 | 敌
仇视 | 敌
常绿灌木，果实圆形，似橘而大，赤黄色，味甜或酸甜，种类很多。树皮、叶、花、种子均可入药 | 柑
同“谈”。 | 谭
姓。 | 谭
说 | 曰
为（），是 | 曰
叫做 | 曰
语助词，无实义 | 曰
商店做标志的旗帜 | 帘
用布、竹、苇等做的遮蔽门窗的东西 | 帘
淹没 | 溺
沉迷不悟，过分，无节制 | 溺
同“尿”。 | 溺
用圈、环等东西套住或拢住；把门～上。 | 扣
衣纽 | 扣
绳结 | 扣
把器物口朝下放或覆盖东西 | 扣
相符，符合 | 扣
强留 | 扣
从中减除 | 扣
敲击 | 扣
称上帝、耶稣或神的第三人称代词。 | 祂
有机化合物的一类，是一个羰基和两个烃基连接而成的化合物 | 酮
佩玉上面的横玉，形状像磬。 | 珩
巡察 | 逻
遮拦 | 逻
缝织衣物引线用的一种细长的工具 | 针
细长像针的东西 | 针
用针扎治病 | 针
注射用的器具和药物 | 针
搬动，挥动 | 振
奋起，兴起 | 振
古同“赈”，救济。古同“震”，威震。 | 振
用高岭土烧成的一种质料，所做器物比陶器细致而坚硬 | 瓷
指空间，人面所向的一面；房屋等正门所向的一面；家具等靠外的一面，与“后”相对 | 前
指时间，过去的，往日的，与“后”相对 | 前
顺序在先的 | 前
向前行进 | 前
石头的一种，质细而坚硬，有光泽，略透明，可雕琢成工艺品 | 玉
美，尊贵的，敬辞 | 玉
姓。 | 玉
〔～蒲〕多年生草本植物，生在水边，地下有根茎，叶子形状像剑，花穗像棍棒。根茎可作香料，又可作健胃药。 | 菖
〔～醐〕古代指从牛奶中提炼出来的酥油，佛教喻最高的佛法，如“～醐灌顶”（喻把佛法、智慧、悟性灌输给人，使人彻底醒悟，亦借指听了精辟的言论深受启发教育）。 | 醍
较清的浅红色酒 | 醍
〔～蜒〕蛇爬行的样子；弯弯曲曲地延伸。 | 蜿
脊椎动物的一类，生活在水中，一般有鳞和鳍，用鳃呼吸，冷血 | 鱼
姓。 | 鱼
仁爱，和善 | 慈
特指“慈母”，多用于对人称自己的母亲 | 慈
对父母的孝敬奉养 | 慈
情形 | 况
比方 | 况
文言连词，表示更进一层 | 况
姓。 | 况
古同“贶”，赐予。 | 况
古同“皋”。 | 皐
古同“皋”。 | 皐
花草的香气 | 芬
〔～鱼〕身体圆筒形，青褐色，头扁，性凶猛，捕食其他鱼类，为淡水养殖业的害鱼。肉可食，亦称“黑鱼”、“乌鳢”。 | 鳢
居住的房子 | 舍
居住，休息 | 舍
谦辞，多指亲属中比自己年纪小或辈分低的 | 舍
古代行军一宿或三十里为一舍 | 舍
姓。 | 舍
放弃，不要了 | 舍
施舍 | 舍
同“扇”。 | 煽
聚集 | 裒
减少 | 裒
〔～鱼〕体侧扁，形略似鲑鱼，全身有显著的黑点。常栖海中，夏季上溯于河产卵，秋末又入海。肉可食，为养殖的名贵鱼种。 | 鳟
（鳟） | 鳟
海边弯曲可以停船的地方（多用于地名） | 澳
指“澳大利亚洲”（“大洋洲”的旧称，简称“澳洲”）。 | 澳
吃，引申为忍受 | 茹
臭，败 | 茹
柔软 | 茹
菜 | 茹
根互相牵连的样子 | 茹
姓。 | 茹
古同“畲”，“畲族”的“畲”，古书上又写作“輋”。 | 輋
远行 | 征
用武力制裁，讨伐 | 征
召集 | 征
收集 | 征
招请，寻求 | 征
证明，证验 | 征
表露出来的迹象 | 征
财物，钱财 | 资
经营工商业的本钱和财产 | 资
供给，帮助 | 资
智慧能力 | 资
出身和经历 | 资
姓。 | 资
小孩子 | 儿
年轻的人（多指青年男子） | 儿
男孩子 | 儿
雄性的马 | 儿
喂牲畜的干草 | 茭
〔～白〕菰的嫩茎经某种病菌寄生后膨大，可做蔬菜。 | 茭
用竹篾或芦苇编成的缆索。 | 茭
偏，不正 | 颇
很，相当地；～为（）。～佳。～久。～以为然。 | 颇
姓。 | 颇
穿在腰部以下的衣服，有“裤腰”、“裤裆”和两条“裤腿” | 裤
规定的时间，或一段时间 | 期
量词，用于刊物或其他分期的事物 | 期
盼望，希望 | 期
限度 | 期
必，决定 | 期
〔～颐〕指人活到一百岁。 | 期
地质学上指在一个国境内或一个大区域内，小于“世”的地质年代单位。 | 期
一周年，一整月 | 期
水或食物进入气管引起不适或咳嗽而突然喷出。 | 呛
咳嗽。 | 呛
鸟食。 | 呛
愚蠢的样子 | 呛
有刺激性的气味使鼻、嗓等器官感到不舒服。 | 呛
干，缺少水分 | 燥
古同“灵”。 | 霊
广大的地域 | 寰
古指距京都千里以内的地区，京畿 | 寰
同“檐”。 | 簷
古代举行祭祀、誓师等大典用的土和石筑的高台 | 坛
用土堆成的平台 | 坛
僧道进行宗教活动的场所 | 坛
文艺界、体育界或舆论阵地 | 坛
一种口小肚大的陶器 | 坛
〔～桐〕落叶乔木，茎高二十米左右，亦称“空桐树”。 | 珙
古代玉器，大璧。 | 珙
收入，放进 | 纳
接受 | 纳
享受 | 纳
缴付 | 纳
补缀，缝补；现多指密密地缝 | 纳
姓。 | 纳
古地名（在今中国河南省偃师县；在今中国山西省介休县）。 | 邬
姓。 | 邬
露天的谷仓 | 庾
古代容量单位，一庾等于十六斗。 | 庾
姓。 | 庾
黑鬃黑尾巴的红马。 | 骝
一种像玉的石头。 | 琎
容貌好看 | 丰
风度神采 | 丰
盛，多，大 | 丰
姓。 | 丰
人类生长活动的所在 | 地
地球或地球的某部分 | 地
地球表面除去海洋、江河、湖泊的部分 | 地
地球表面的土壤 | 地
地球上的一个区域 | 地
建筑材料铺成的平面 | 地
所在空间或区域的部位 | 地
人在社会关系中所处的位置 | 地
表示思想或行动的某种活动领域 | 地
底子 | 地
结构助词，用在词或词组之后表示修饰后面的谓语 | 地
才干，本事 | 能
有才干的 | 能
胜任，善于 | 能
会（表示可能性） | 能
应该 | 能
物理学名词，“能量”的简称 | 能
和睦 | 能
传说中的一种兽，似熊。 | 能
古代称一种三足鳖。 | 能
古同“耐”，受得住。 | 能
稻麦等植物的茎 | 秆
比 | 较
对比着显得更进一层的 | 较
明显 | 较
大旨，大概 | 较
二十 | 廿
〔～水〕水名，在中国湖南省。 | 沩
（沩） | 沩
欢乐；乐趣 | 悰
心情；思绪 | 悰
谋划。 | 悰
非常细碎的石粒 | 沙
像沙的东西 | 沙
声音不清脆不响亮 | 沙
姓。 | 沙
经过摇动把某东西里的杂物集中，以便清除。 | 沙
马壮健。 | 骄
自满，自高自大，不服从 | 骄
猛烈 | 骄
年纪大，时间长，有经验，陈旧的 | 老
对年纪大的人的尊称 | 老
极，很 | 老
老年人 | 老
晚年 | 老
敬老，养老 | 老
总是，经常 | 老
原来的 | 老
与“嫩”相对 | 老
词头，用于表排行，用于表相互尊称，或加在某些动植物名前构成多音节词 | 老
老子（中国先秦思想家）及其学说的简称。。 | 老
死的讳称 | 老
〔～板〕指业主或企业的经营者。 | 老
姓。 | 老
骨头的空腔中像胶状的东西 | 髓
像骨髓的东西 | 髓
植物茎的中心部分，由薄壁的细胞组成。 | 髓
有香味的木头。 | 棻
打仗 | 战
泛指争斗，比高下 | 战
发抖 | 战
姓。 | 战
用手掌打 | 拍
浪涛冲击 | 拍
拍打东西的用具 | 拍
乐曲的节奏 | 拍
摄影 | 拍
发出 | 拍
阿谀，巴结 | 拍
古代酒器 | 觞
欢饮，进酒 | 觞
用来映照形象的器具 | 镜
利用光学原理制造的各种器具，上面的镜片一般用玻璃制成 | 镜
监察，借鉴 | 镜
照耀 | 镜
把残破的东西加上材料修理完整 | 补
把缺少的东西充实起来或添上 | 补
益处 | 补
睡，卧 | 寝
睡觉的地方 | 寝
皇家宗庙后殿藏先人衣冠之处，亦指帝王的坟墓 | 寝
停止，平息 | 寝
面貌难看 | 寝
中央有孔的圆形佩玉 | 环
圈形的东西 | 环
围绕 | 环
相互联系的许多事物中的一个 | 环
量词，用于记录射击环靶的成绩 | 环
姓。 | 环
把烧红了的铸件往水或油或其他液体里一浸立刻取出来，用以提高合金的硬度和强度 | 淬
染 | 淬
初生的植物或没有秀穗的庄稼 | 苗
形状像苗的 | 苗
某些初生的饲养的动物 | 苗
能使机体产生免疫力的微生物制剂 | 苗
子孙后代 | 苗
中国少数民族，主要分布于贵州、湖南、云南、四川、湖北等省和广西壮族自治区 | 苗
姓。 | 苗
红色 | 绯
小气，该用的财物舍不得用 | 啬
古同“穑”，收割庄稼。 | 啬
注视 | 瞩
覆盖，遮蔽 | 弇
承袭 | 弇
深 | 弇
狭 | 弇
不好闻的气味，与“香”相对 | 臭
香气 | 臭
惹人厌恶的 | 臭
狠狠地 | 臭
指子弹、炮弹坏，失效 | 臭
气味的总称 | 臭
同“嗅”。 | 臭
燃烧，物质燃烧时所发出的光和焰 | 火
紧急 | 火
指枪炮弹药等 | 火
发怒，怒气 | 火
中医指发炎、红肿、烦躁等的病因 | 火
形容红色的 | 火
古代军队组织，一火十个人。 | 火
姓。 | 火
有才能 | 偲
〔～～〕相互勉励，相互督促，如“朋友切切～～”。 | 偲
古同“富”。 | 冨
古通“比”，比较。 | 吡
诋毁。 | 吡
诋毁，斥责 | 吡
山间的雾气 | 岚
植物才生长出来的样子。 | 茁
壮盛，壮健 | 茁
〔葡～〕见“葡”。 | 萄
古国名，在今中国湖北省安陆县。 | 郧
古地名，在今中国江苏省如臬县。 | 郧
姓。 | 郧
〔～虫〕昆虫，种类很多，躯体绿色或黄褐色。咀嚼式口器，后足适于弹跳，常常成群飞翔，是农业害虫，亦称“蚂（）蚱”；简称“蝗”，如“～灾”，“灭～”。 | 蝗
适合，适当 | 宜
应该，应当 | 宜
当然，无怪 | 宜
姓。 | 宜
逆，不顺从 | 忤
〔邛～〕见“邛”。 | 崃
古代服装下连到前襟的衣领 | 衿
系衣裳的带子。 | 衿
〔～佺（）〕古代传说中的仙人。 | 偓
关于古代印度的 | 梵
四肢无严格分工，通体生毛的哺乳动物的总称 | 兽
喻野蛮，下流 | 兽
拉，牵引 | 曳
古同“隐”。 | 隠
古同“隐”。 | 隠
一种小竹。 | 箐
山间的大竹林，泛指树木丛生的山谷。 | 箐
形容玉碰击的声音 | 玲
晓得，明了 | 知
使知道 | 知
学识，学问 | 知
主管 | 知
彼此了解 | 知
彼此了解、交好的人 | 知
古同“智”，智慧。 | 知
水清澈 | 浏
明朗 | 浏
大略地看 | 浏
凶暴 | 桀
古同“杰”，杰出的人。 | 桀
古同“揭”，举起。 | 桀
中国夏朝末代君主，相传是暴君 | 桀
力气小，势力小，与“强”相对 | 弱
年纪小 | 弱
不够，差点儿，与“强”相对 | 弱
差，不如 | 弱
丧失（指人死） | 弱
古同“祦”。 | 禑
相似 | 像
比照人物做成的图形 | 像
比如，比方 | 像
垫在下面的东西。 | 藉
衬垫 | 藉
同“借”。 | 藉
抚慰 | 藉
含蓄 | 藉
假设，假使 | 藉
践踏，凌辱 | 藉
进贡 | 藉
〔～～〕同“籍籍”。 | 藉
姓。 | 藉
深切的怨恨 | 仇
古同“逑”，匹配。 | 仇
姓。 | 仇
早晨 | 旦
表示某一天，亦指农历的初一日 | 旦
传统戏剧里扮演女子的角色 | 旦
纤度单位，九千米长的纤维重量为多少克，它的纤度就是多少旦。 | 旦
哥哥的妻子 | 嫂
泛称年岁不大的已婚妇女 | 嫂
英美制重量单位，一磅合公斤。 | 磅
